fdi	tooth_type	tooth_position	quadrant	name_cn	name_en	clinical_alerts
32	permanent	anterior	LL	左下侧切牙	Lower left lateral incisor	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌切牙约 20% 有 2 根管（颊舌型）— 探查时注意', 'alert_en': 'Lower incisors have 2 canals in ~20% — examine for buccolingual configuration'}]
33	permanent	anterior	LL	左下尖牙	Lower left canine	[]
34	permanent	premolar	LL	左下第一前磨牙	Lower left first premolar	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌第一前磨牙约 25% 有 2 根管 — 仔细探查', 'alert_en': 'Lower first premolar has 2 canals in ~25% — examine carefully'}]
35	permanent	premolar	LL	左下第二前磨牙	Lower left second premolar	[]
36	permanent	molar	LL	左下第一磨牙	Lower left first molar	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '可有 middle mesial 或 distolingual 第四根管（少数病例）— 术中注意探查', 'alert_en': 'May have middle mesial or distolingual canal (minority of cases) — examine intraoperatively', 'billing_implication_cn': '若发现额外根管 → 触发 11根管异常 加收'}]
37	permanent	molar	LL	左下第二磨牙	Lower left second molar	"[{'type': 'morphology_complexity', 'severity': 'common', 'alert_cn': 'C 型根管在中国人群约 30-40% 发生率 — 术前 CBCT 评估强烈推荐', 'alert_en': 'C-shaped canal in ~30-40% of Chinese population — CBCT strongly advised', 'billing_implication_cn': ""C 型形态属于'根管异常' → 触发 11根管异常 加收""}]"
38	permanent	molar	LL	左下第三磨牙 (智齿)	Lower left third molar (wisdom)	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '智齿根管形态高度变异 — 术前 CBCT 评估推荐；常合并阻生', 'alert_en': 'Wisdom tooth canal morphology highly variable — pre-op CBCT advised; often impacted'}]
41	permanent	anterior	LR	右下中切牙	Lower right central incisor	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌切牙约 20% 有 2 根管（颊舌型）— 探查时注意', 'alert_en': 'Lower incisors have 2 canals in ~20% — examine for buccolingual configuration'}]
42	permanent	anterior	LR	右下侧切牙	Lower right lateral incisor	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌切牙约 20% 有 2 根管（颊舌型）— 探查时注意', 'alert_en': 'Lower incisors have 2 canals in ~20% — examine for buccolingual configuration'}]
43	permanent	anterior	LR	右下尖牙	Lower right canine	[]
44	permanent	premolar	LR	右下第一前磨牙	Lower right first premolar	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌第一前磨牙约 25% 有 2 根管 — 仔细探查', 'alert_en': 'Lower first premolar has 2 canals in ~25% — examine carefully'}]
45	permanent	premolar	LR	右下第二前磨牙	Lower right second premolar	[]
46	permanent	molar	LR	右下第一磨牙	Lower right first molar	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '可有 middle mesial 或 distolingual 第四根管（少数病例）— 术中注意探查', 'alert_en': 'May have middle mesial or distolingual canal (minority of cases) — examine intraoperatively', 'billing_implication_cn': '若发现额外根管 → 触发 11根管异常 加收'}]
47	permanent	molar	LR	右下第二磨牙	Lower right second molar	"[{'type': 'morphology_complexity', 'severity': 'common', 'alert_cn': 'C 型根管在中国人群约 30-40% 发生率 — 术前 CBCT 评估强烈推荐', 'alert_en': 'C-shaped canal in ~30-40% of Chinese population — CBCT strongly advised', 'billing_implication_cn': ""C 型形态属于'根管异常' → 触发 11根管异常 加收""}]"
48	permanent	molar	LR	右下第三磨牙 (智齿)	Lower right third molar (wisdom)	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '智齿根管形态高度变异 — 术前 CBCT 评估推荐；常合并阻生', 'alert_en': 'Wisdom tooth canal morphology highly variable — pre-op CBCT advised; often impacted'}]
51	primary	anterior	UR	右上乳中切牙	Upper right primary central incisor	[]
52	primary	anterior	UR	右上乳侧切牙	Upper right primary lateral incisor	[]
53	primary	anterior	UR	右上乳尖牙	Upper right primary canine	[]
54	primary	molar	UR	右上第一乳磨牙	Upper right primary first molar	[]
55	primary	molar	UR	右上第二乳磨牙	Upper right primary second molar	[]
61	primary	anterior	UL	左上乳中切牙	Upper left primary central incisor	[]
62	primary	anterior	UL	左上乳侧切牙	Upper left primary lateral incisor	[]
63	primary	anterior	UL	左上乳尖牙	Upper left primary canine	[]
64	primary	molar	UL	左上第一乳磨牙	Upper left primary first molar	[]
65	primary	molar	UL	左上第二乳磨牙	Upper left primary second molar	[]
71	primary	anterior	LL	左下乳中切牙	Lower left primary central incisor	[]
72	primary	anterior	LL	左下乳侧切牙	Lower left primary lateral incisor	[]
73	primary	anterior	LL	左下乳尖牙	Lower left primary canine	[]
74	primary	molar	LL	左下第一乳磨牙	Lower left primary first molar	[]
75	primary	molar	LL	左下第二乳磨牙	Lower left primary second molar	[]
81	primary	anterior	LR	右下乳中切牙	Lower right primary central incisor	[]
82	primary	anterior	LR	右下乳侧切牙	Lower right primary lateral incisor	[]
83	primary	anterior	LR	右下乳尖牙	Lower right primary canine	[]
84	primary	molar	LR	右下第一乳磨牙	Lower right primary first molar	[]
85	primary	molar	LR	右下第二乳磨牙	Lower right primary second molar	[]
