dx_id	icd10_code	parent_icd	name_en	name_cn	synonyms_en	synonyms_cn	domain	clinical_summary_en	clinical_summary_cn	confirmation_findings	exclusion_findings	differentials	references
DX-K02.1	K02.1	K02	Caries of dentine	牙本质龋	dentinal caries|dentine caries|cavitated caries|deep caries	牙本质龋|深龋|龋洞	caries	Carious lesion extending into dentine. May be asymptomatic or cause brief provoked pain to cold/sweet. Treatment varies by depth (mid-dentine vs near-pulp) and by tooth type (primary vs permanent). Lingering pain or spontaneous pain indicates pulpal involvement (re-diagnose as K04.x).	龋损延伸至牙本质。可无症状或对冷/甜短暂激发痛。治疗根据深度（中度龋vs近髓）和牙型（乳牙vs恒牙）选择。持续痛或自发痛提示牙髓受累（应重新诊断为K04.x）。	cavitation=yes|lesion_depth in [mid_dentine, deep_dentine]|periapical_xray=normal	pain_duration_after_stimulus=lingers_over_30s|spontaneous_pain=yes|periapical_xray=periapical_radiolucency|pulp_vitality=no_response	DX-K02.0|DX-K04.00|DX-K04.01|DX-K04.1	REF-006|REF-007|REF-008|REF-009|REF-021
DX-K02.3	K02.3	K02	Arrested dental caries (inactive)	静止龋 (无活力龋)	arrested caries|inactive caries|stationary caries	静止龋|稳定龋|无活力龋	caries	Caries that has stopped progressing — typically hard, dark/brown, shiny dentine. No active demineralisation. Conservative management; restore only if functional/aesthetic/cleansability concern.	停止进展的龋——硬质、深褐色、光泽牙本质。无活动性脱矿。保守处理；仅在功能/美观/清洁问题时修复。	lesion_activity=inactive|lesion_texture=hard_shiny|pain_type=none	lesion_activity=active|spontaneous_pain=yes	DX-K02.1	REF-027
DX-K02.51	K02.51	K02.5	Caries on pit and fissure surface, limited to enamel	窝沟点隙釉质龋	pit and fissure caries enamel|occlusal enamel caries	窝沟釉质龋|𬌗面釉质龋	caries	Enamel-limited caries in pit/fissure morphology (occlusal surfaces of molars/premolars). High preventive priority — fissure sealants are evidence-based first-line.	窝沟形态（磨牙/前磨牙𬌗面）的釉质局限龋。预防优先级高——窝沟封闭为循证一线治疗。	lesion_location=occlusal|lesion_depth=enamel_only|cavitation=no	cavitation=yes|lesion_depth in [mid_dentine, deep_dentine]	DX-K02.0|DX-K02.1	REF-027
DX-K05.10	K05.10	K05.1	Chronic gingivitis, plaque-induced	慢性龈炎 (菌斑性)	plaque-induced gingivitis|chronic gingivitis|marginal gingivitis	菌斑性龈炎|慢性龈炎|边缘性龈炎	periodontal	Inflammation of the gingiva caused by dental plaque. Bleeding on probing, oedema, erythema, no bone loss, probing depth ≤3mm (or pseudo-pocket 4–5mm from oedema without attachment loss). Fully reversible with effective plaque control.	牙菌斑所致牙龈炎症。探诊出血、水肿、红肿，无骨丧失，PPD≤3mm（或4–5mm假性牙周袋，但无附着丧失）。通过有效菌斑控制可完全逆转。	bop_present=yes|bone_loss_radiographic=none|ppd_max in [3mm_or_less, 4_5mm]|attachment_loss=no	bone_loss_radiographic=present|attachment_loss=yes|gingival_presentation=non_plaque_induced	DX-K05.11|DX-K05.30|DX-K05.31	REF-012|REF-013
DX-K05.11	K05.11	K05.1	Chronic gingivitis, non-plaque-induced	慢性龈炎 (非菌斑性)	non-plaque-induced gingivitis|drug-induced gingival overgrowth|viral gingivitis	非菌斑性龈炎|药物性牙龈增生|病毒性龈炎	periodontal	Gingival inflammation from non-plaque causes: viral (HSV, HPV), fungal (candida), allergic, drug-induced overgrowth (calcium channel blockers, phenytoin, cyclosporin), or systemic disease. Specialist evaluation is recommended — do not treat as routine plaque-induced gingivitis.	非菌斑性病因所致龈炎：病毒（HSV、HPV）、真菌（念珠菌）、过敏、药物性增生（钙通道阻滞剂、苯妥英、环孢素）或全身疾病。建议专科评估——不可按常规菌斑性龈炎处理。	gingival_presentation=non_plaque_induced OR gingival_presentation=drug_induced	bone_loss_radiographic=present	DX-K05.10|DX-K06.1	REF-012|REF-013
DX-K05.20	K05.20	K05.2	Periodontal abscess (acute periodontitis)	牙周脓肿 (急性牙周炎)	periodontal abscess|acute periodontal abscess|lateral periodontal abscess	牙周脓肿|急性牙周脓肿|侧支牙周脓肿	periodontal	Localised purulent infection in the periodontal pocket, distinct from periapical abscess (vital pulp, lateral location). Pain, swelling, deep PPD on probing, often pus on pressure. Drainage is primary treatment; antibiotics only with systemic signs.	牙周袋内局限性化脓感染，区别于根尖脓肿（牙髓活力正常、位于侧方）。疼痛、肿胀、探诊深袋、压之有脓。引流为主要治疗；仅在全身症状存在时使用抗生素。	swelling=yes|ppd_max in [4_5mm, 6mm_or_more]|pulp_vitality=normal OR pulp_vitality=exaggerated	pulp_vitality=no_response	DX-K04.7|DX-K05.30|DX-K05.31	REF-013|REF-023|REF-029
DX-K05.30	K05.30	K05.3	Chronic periodontitis, localized	慢性牙周炎 (局限性)	localized chronic periodontitis|localized periodontitis	局限性牙周炎|局限性慢性牙周炎	periodontal	Chronic destructive disease of periodontal tissues affecting <30% of teeth. Bone loss, attachment loss, increased PPD, may have furcation involvement, mobility. Severity (Tonetti Stage I–IV) is captured via clinical answers and drives treatment selection. Same ICD code regardless of stage; stage gates which treatments fire.	牙周组织慢性破坏性疾病，影响<30%牙位。骨丧失、附着丧失、PPD增加，可有根分叉受累、松动。严重程度（Tonetti I–IV期）通过临床应答记录并驱动治疗选择。无论分期使用同一ICD编码；分期决定治疗触发。	bone_loss_radiographic=present|attachment_loss=yes|distribution=localized	distribution=generalized|bone_loss_radiographic=none	DX-K05.10|DX-K05.31	REF-011|REF-013|REF-022
DX-K05.31	K05.31	K05.3	Chronic periodontitis, generalized	慢性牙周炎 (广泛性)	generalized chronic periodontitis|generalized periodontitis	广泛性牙周炎|广泛性慢性牙周炎	periodontal	Chronic destructive periodontal disease affecting ≥30% of teeth. Same treatment logic as K05.30 but with implications for systemic management (stronger association with smoking, diabetes, cardiovascular disease). Severity captured via PPD, bone loss, furcation, mobility answers.	影响≥30%牙位的慢性破坏性牙周疾病。治疗逻辑同K05.30但更需关注全身管理（与吸烟、糖尿病、心血管疾病相关性更强）。严重程度通过PPD、骨丧失、根分叉、松动等应答记录。	bone_loss_radiographic=present|attachment_loss=yes|distribution=generalized	distribution=localized|bone_loss_radiographic=none	DX-K05.10|DX-K05.30	REF-011|REF-013|REF-022
DX-K06.0	K06.0	K06	Gingival recession	牙龈退缩	gingival recession|gum recession|recession defect	牙龈退缩|牙龈萎缩	periodontal	Apical displacement of gingival margin beyond the cemento-enamel junction. Classified by Cairo (RT1: no interproximal attachment loss; RT2: interproximal AL less than buccal AL; RT3: greater). Treatment choice depends on class, sensitivity, and aesthetic concern.	牙龈边缘根方移位超过釉牙骨质界。Cairo分类：RT1（无邻面附着丧失）、RT2（邻面AL小于颊侧AL）、RT3（更大）。治疗选择取决于分类、敏感、美观需求。	gingival_condition_type=recession		DX-K02.7	REF-013|REF-028
DX-K06.1	K06.1	K06	Gingival enlargement (hyperplasia / overgrowth)	牙龈增生 (增大/过度生长)	gingival overgrowth|gingival hyperplasia|drug-induced gingival enlargement	牙龈增生|牙龈过度生长|药物性牙龈增生	periodontal	Increased gingival tissue volume. Causes: drug-induced (calcium channel blockers, phenytoin, cyclosporin), inflammatory (plaque-driven), or hereditary. Management focuses on cause: improve plaque control, consult prescriber for drug substitution where feasible, surgical reduction for persistent functional/aesthetic concern.	牙龈组织体积增加。病因：药物性（钙通道阻滞剂、苯妥英、环孢素）、炎症性（菌斑驱动）或遗传性。管理重点为病因：改善菌斑控制、与处方医师协商换药、对持续功能/美观问题行外科切除。	gingival_condition_type in [drug_induced_overgrowth, inflammatory_overgrowth]	gingival_condition_type=recession	DX-K05.11	REF-012|REF-013
DX-K12.0	K12.0	K12	Recurrent aphthous stomatitis (RAS / canker sores)	复发性口腔溃疡 (复发性阿弗他溃疡)	aphthous ulcer|canker sore|RAS|minor aphthous ulcer	复发性口腔溃疡|阿弗他溃疡|口疮	mucosal	Painful, recurrent, well-defined ulcers on non-keratinised mucosa (labial, buccal, ventral tongue, floor of mouth). Round/oval, yellow-grey base, erythematous halo. Heal in 7–14 days WITHOUT scarring (minor RAS). Recurrence is the diagnostic feature.	非角化黏膜（唇、颊、舌腹、口底）的复发性疼痛性边界清晰溃疡。圆形或卵圆形，黄灰色基底，红晕。（轻型）7–14天内愈合且不留瘢痕。复发为诊断要素。	lesion_recurrent=yes|lesion_duration_days<14|lesion_location in [labial_mucosa, buccal_mucosa, tongue_ventral, floor_of_mouth]	lesion_duration_days>=14|lesion_location in [tongue_lateral, hard_palate, attached_gingiva]|induration=yes	DX-K12.1|DX-K13.71|DX-K13.21	REF-008
DX-K12.2	K12.2	K12	Cellulitis and abscess of mouth (oral cellulitis, fascial space infection)	口腔蜂窝织炎与脓肿	oral cellulitis|Ludwig's angina|submandibular space infection|fascial space infection	口腔蜂窝织炎|Ludwig咽峡炎|颌下间隙感染|面颊间隙感染	mucosal	Diffuse soft-tissue infection of the mouth and adjacent fascial spaces. Source typically odontogenic (K04.7 spreading or K05.20 spreading). Rapidly progressive — airway threat. EMERGENCY management.	口腔及邻近筋膜间隙的弥漫性软组织感染。多为牙源性扩散（K04.7或K05.20）。进展迅速——气道威胁。急诊处理。	swelling=yes|swelling_spread in [floor_of_mouth, submandibular, periorbital, fascial_space]	lesion_localised=yes AND fever=none	DX-K04.7|DX-K05.20	REF-008|REF-023
DX-K12.3	K12.3	K12	Oral mucositis (chemotherapy / radiation-induced)	口腔黏膜炎 (化疗/放疗诱发)	chemotherapy-induced mucositis|radiation mucositis|oncology mucositis	化疗诱发性黏膜炎|放疗黏膜炎|肿瘤治疗相关黏膜炎	mucosal	Inflammation and ulceration of oral mucosa caused by cytotoxic chemotherapy or head/neck radiotherapy. Onset typically 5–10 days after chemo start; can be severe (WHO grade 3–4) and limit oral intake. Management is supportive — no curative treatment exists.	细胞毒化疗或头颈部放疗所致口腔黏膜炎症与溃疡。化疗开始后5–10天发作；可严重（WHO 3–4级）影响进食。治疗为支持性——目前无根治方法。	recent_chemo_or_radiation=yes|lesion_extent in [diffuse, multifocal]	recent_chemo_or_radiation=no	DX-K12.0|DX-K13.71	REF-032
DX-K13.0	K13.0	K13	Cheilitis (lip inflammation — angular, exfoliative, contact)	唇炎（口角炎、剥脱性、接触性）	angular cheilitis|perlèche|exfoliative cheilitis|contact cheilitis	口角炎|脱屑性唇炎|接触性唇炎	mucosal	Inflammation of the lips. Angular variant: fissuring at commissures, often candidal, frequently associated with reduced occlusal vertical dimension, ill-fitting dentures, iron/B12/folate deficiency. Treat the cause, not just the symptoms.	唇部炎症。口角炎型：口角皲裂，常合并念珠菌感染，多由垂直距离降低、义齿不合、铁/B12/叶酸缺乏所致。治本，不只对症。	lesion_location in [lip_commissure, lip_vermilion, lip_skin]	induration=yes|lesion_duration_days>=14 AND not_resolving=yes	DX-K13.71	REF-008
DX-K13.21	K13.21	K13.2	Leukoplakia of oral mucosa (oral potentially malignant disorder)	口腔白斑 (口腔潜在恶性病变)	leukoplakia|oral leukoplakia|OPMD|potentially malignant disorder	白斑|口腔白斑|潜在恶性病变	mucosal_oncology	A clinically defined white patch or plaque that cannot be characterised as any other definable lesion (WHO 2017). Cannot be diagnosed clinically alone — BIOPSY is mandatory to determine dysplasia grade. Annual malignant transformation rate 1–3%; higher in non-homogeneous and high-risk sites (lateral tongue, floor of mouth).	临床上不能归入任何其他明确病变的白色斑块（WHO 2017）。不可仅凭临床诊断——必须活检确定上皮异型增生分级。年恶变率1–3%；非均质型与高危部位（舌侧缘、口底）更高。	white_patch=yes|cannot_be_rubbed_off=yes|other_diagnosis_excluded=yes	lesion_red_component=yes|induration=yes	DX-K13.71|DX-K13.5|DX-K13.71	REF-030|REF-033
DX-K13.5	K13.5	K13	Oral submucous fibrosis (OSMF / OSF)	口腔黏膜下纤维化 (OSMF)	oral submucous fibrosis|OSMF|OSF	口腔黏膜下纤维化|OSMF	mucosal_oncology	Chronic, progressive, scarring disease of the oral mucosa. Strongly associated with areca/betel-nut chewing (Asia, Pacific). Burning sensation, blanched mucosa, fibrous bands, restricted mouth opening (trismus). Malignant transformation rate 7–13%. Cessation of areca is essential.	口腔黏膜的慢性进行性瘢痕性疾病。与咀嚼槟榔/槟榔块密切相关（亚洲、太平洋地区）。灼烧感、黏膜苍白、纤维条索、张口受限。恶变率7–13%。停用槟榔为根本措施。	areca_betel_use in [current, past]|mouth_opening_mm<=35 OR blanched_mucosa=yes OR fibrous_bands=yes	induration=yes AND non_healing_ulcer=yes	DX-K13.21|DX-K13.71	REF-030|REF-034
DX-K13.71	K13.71	K13.7	Erythroplakia (red patch — high-risk oral potentially malignant disorder)	红斑 (口腔红斑——高危潜在恶性病变)	erythroplakia|erythroplasia|red patch|OPMD	红斑|口腔红斑|高危潜在恶性病变	mucosal_oncology	A clinically defined red patch that cannot be characterised as any other definable lesion. URGENT biopsy referral — 40–50% show carcinoma in situ or invasive carcinoma AT FIRST BIOPSY. Highest malignant potential of any OPMD.	临床上不能归入任何其他明确病变的红色斑块。紧急活检转诊——首次活检即有40–50%为原位癌或浸润癌。所有OPMD中恶变潜能最高。	red_patch=yes|other_diagnosis_excluded=yes	lesion_resolves_with_irritant_removal=yes	DX-K13.21|DX-K13.71	REF-030|REF-031
DX-K13.72	K13.72	K13.7	Oral lichen planus (OLP)	口腔扁平苔藓 (OLP)	oral lichen planus|OLP|Wickham's striae	口腔扁平苔藓|Wickham纹	mucosal_oncology	Chronic immune-mediated mucocutaneous disease. Reticular (lacy Wickham's striae, asymptomatic), erosive (painful ulcers), or atrophic forms. Malignant transformation 1–2% — erosive/atrophic forms warrant closer surveillance. Biopsy to confirm; manage with topical corticosteroids.	免疫介导的慢性黏膜皮肤病。网状型（蕾丝状Wickham纹，无症状）、糜烂型（疼痛溃疡）或萎缩型。恶变率1–2%——糜烂/萎缩型需密切随访。活检确诊；局部皮质类固醇治疗。	wickham_striae=yes OR lesion_pattern=reticular_or_erosive|bilateral_symmetric=yes	induration=yes|asymmetric=yes AND red_patch=yes	DX-K13.21|DX-K13.71|DX-K12.0	REF-030
DX-K02.7	K02.7	K02	Root caries (cementum/dentine of exposed root)	根面龋 (牙根暴露的牙骨质/牙本质)	root caries|cervical caries|cementum caries	根面龋|颈部龋|牙骨质龋	caries	Caries on the exposed root surface, typically due to gingival recession + xerostomia + biofilm. Common in elderly. Treatment selection considers access, isolation, and proximity to pulp/PDL.	牙根暴露面的龋损，常因牙龈退缩+口干+菌斑所致。老年人多见。治疗考虑可视、隔湿、距牙髓/牙周膜距离。	lesion_location=root|gingival_recession=yes	spontaneous_pain=yes|pulp_vitality=no_response	DX-K02.1|DX-K04.00	REF-008|REF-027
