tx_id	dx_id	name_en	name_cn	class	gates	post_treatment	rationale_en	rationale_cn	references
TX-K04.4-001	DX-K04.4	Occlusal adjustment (relieve traumatic occlusion) + initiate RCT (drainage if pulp necrotic)	调𬌗（解除咬合创伤）+ 启动RCT（牙髓坏死者引流）	first_line	tooth_restorability=restorable		Address the cause (pulpal disease) + relieve the symptomatic trigger (occlusal trauma).	处理病因（牙髓疾病）+ 解除症状诱因（咬合创伤）。	REF-005|REF-008
TX-K04.5-001	DX-K04.5	RCT (expected healing 6-12 months) + 6-month periapical X-ray review	RCT（预期愈合6-12月）+ 6月根尖片复查	first_line	tooth_restorability=restorable|previous_rct=no		Primary endodontic treatment of an asymptomatic apical lesion; larger lesions heal more slowly.	无症状根尖病变的初次根管治疗；病变越大愈合越慢。	REF-003|REF-005|REF-008
TX-K04.5-002	DX-K04.5	Endodontic re-treatment OR apicoectomy	根管再治疗 或 根尖手术	first_line	tooth_restorability=restorable|previous_rct=yes		Persistent lesion after prior RCT: re-treat orthograde first; surgery if re-treatment fails or is not feasible.	RCT后病变持续：优先顺行再治疗；再治疗失败或不可行时考虑根尖手术。	REF-005|REF-008
TX-K04.6-001	DX-K04.6	RCT (sinus typically resolves within weeks of obturation); no antibiotics needed if afebrile and no spread	RCT（窦道通常在充填后数周内闭合）；无发热和扩散时不需抗生素	first_line	tooth_restorability=restorable|systemic_signs=none		Sinus drainage means infection is contained; antibiotic stewardship — reserve for systemic involvement.	窦道引流提示感染局限；抗生素管理——仅用于全身受累者。	REF-003|REF-008
TX-K04.7-001	DX-K04.7	Emergency drainage (through tooth or incision) + RCT initiation; antibiotics if systemic signs (fever, malaise, lymphadenopathy) or spreading infection	急诊引流（经牙体或切开）+ 启动RCT；有全身症状（发热、不适、淋巴结肿大）或扩散感染时加抗生素	first_line	tooth_restorability=restorable		Drainage is the primary treatment; antibiotics are adjunctive only when systemic signs present.	引流为主要治疗；抗生素仅在出现全身症状时作为辅助。	REF-003|REF-008
TX-K04.7-002	DX-K04.7	Hospital referral for IV antibiotics + airway assessment	住院静脉抗生素 + 气道评估	escalation	swelling_spread in [floor_of_mouth, submandibular, periorbital]|airway_compromise=yes OR trismus=severe OR fever>=38.5		Ludwig's angina / spreading odontogenic infection is life-threatening — hospital management.	Ludwig咽峡炎/扩散性牙源性感染危及生命——需住院治疗。	REF-008
TX-K02.0-001	DX-K02.0	Remineralisation therapy: 5% NaF varnish 2-4x/year + 1450ppm fluoride toothpaste + diet/biofilm counselling	再矿化治疗：5%氟化钠涂层每年2-4次 + 1450ppm含氟牙膏 + 饮食/菌斑指导	first_line	cavitation=no|lesion_activity=active OR lesion_activity=unknown		Non-cavitated active enamel lesions can be arrested or reversed by fluoride + biofilm control (ADA 2018 non-restorative guideline).	非洞型活动性釉质病变可通过氟化物+菌斑控制实现静止或逆转（ADA 2018非修复指南）。	REF-009|REF-027
TX-K02.0-002	DX-K02.0	Resin infiltration (anterior aesthetic white-spot lesions)	树脂渗透 (前牙美观白斑病变)	alternative	cavitation=no|tooth_position=anterior|aesthetic_concern=yes		Resin infiltration arrests progression and improves aesthetics without drilling.	树脂渗透阻止进展并改善美观，无需备洞。	REF-027
TX-K02.1-001	DX-K02.1	Selective caries removal + composite resin restoration	选择性去龋 + 复合树脂充填	first_line	tooth_type=permanent|lesion_depth=mid_dentine|remaining_dentin_thickness in [adequate(>=1mm), >=1mm_visible_barrier]|tooth_restorability=restorable|secondary_caries=no		Standard restorative for mid-dentinal caries with adequate dentine remaining. Selective removal preserves vital tissue (REF-007, EFCD-ESE-ORCA 2025).	中度牙本质龋且剩余牙本质充足时的标准修复。选择性去龋保留活髓组织。	REF-007|REF-008|REF-019
TX-K02.1-002	DX-K02.1	Remove old restoration → reassess depth → composite (or escalate per new depth)	去除旧充填 → 重新评估深度 → 复合树脂充填（或按新深度升级）	first_line	tooth_type=permanent|secondary_caries=yes|tooth_restorability=restorable		True extent only visible after old material is removed; reassess before placing definitive restoration.	旧材料去除后才能见到真实范围；重新评估后再行最终修复。	REF-008
TX-K02.1-003	DX-K02.1	Indirect pulp cap with hydraulic calcium silicate cement (MTA/Biodentine) → composite restoration; 3-month vitality review	间接盖髓 (MTA/Biodentine) → 复合树脂充填；3月活力复查	first_line	tooth_type=permanent|lesion_depth=deep_dentine|remaining_dentin_thickness in [thin(<1mm), <1mm_near_pulp]|tooth_restorability=restorable|spontaneous_pain=no|periapical_xray=normal		Deep caries with thin dentine but no irreversible signs: MTA/Biodentine liner preserves pulp; hard re-entry not required (EFCD-ESE-ORCA S3 2025).	深龋伴牙本质菲薄但无不可复性体征：MTA/Biodentine垫底保护牙髓；不需硬性二次入路（EFCD-ESE-ORCA S3 2025）。	REF-006|REF-007|REF-021
TX-K02.1-004	DX-K02.1	Ceramic inlay / onlay (large proximal lesion in posterior teeth)	瓷嵌体 / 高嵌体 (后牙大面积邻面龋)	alternative	tooth_type=permanent|tooth_position in [premolar, molar]|lesion_location=proximal|large_lesion=yes|tooth_restorability=restorable		When lesion exceeds 2/3 intercuspal width: inlay/onlay offers better contact, occlusion, and longevity than direct composite.	龋损超过牙尖间宽2/3：嵌体/高嵌体在接触、咬合和耐久性上优于直接树脂。	REF-019
TX-K02.1-005	DX-K02.1	GIC filling (primary tooth, asymptomatic or brief provoked pain)	玻璃离子充填 (乳牙，无症状或短暂激发痛)	first_line	tooth_type=primary|pain_type in [none, provoked_brief]|lesion_depth=mid_dentine|tooth_restorability=restorable		GIC preferred for primary teeth: moisture tolerance, fluoride release, simpler technique.	乳牙首选GIC：耐湿、缓释氟、操作简便。	REF-008|REF-009
TX-K02.1-006	DX-K02.1	Hall Technique (preformed metal crown on primary molar without local anaesthesia or caries removal)	Hall技术 (乳磨牙预成金属冠，无需麻醉与去龋)	alternative	tooth_type=primary|tooth_position=molar|pain_type=none|lesion_depth in [mid_dentine, deep_dentine]|tooth_restorability=restorable|patient_cooperative=limited OR child_age<6		Evidence-based option for primary molars in young or anxious patients: seals caries under SSC without drilling. RCTs show non-inferiority to conventional restoration over 5 years.	幼儿或焦虑患者的循证选项：不动钻在乳磨牙不锈钢冠下封闭龋损。5年RCT与传统修复相当。	REF-025
TX-K02.1-007	DX-K02.1	Pulpotomy (primary tooth) — if selective caries removal exposes vital pulp	乳牙活髓切断术 — 选择性去龋时露髓	alternative	tooth_type=primary|pulp_exposed_during_excavation=yes|tooth_restorability=restorable		If caries removal exposes vital pulp in a primary tooth: pulpotomy with MTA/Biodentine; SSC restoration preferred (AAPD 2024).	乳牙去龋暴露活髓：MTA/Biodentine活髓切断；首选不锈钢冠修复（AAPD 2024）。	REF-008
TX-K02.1-008	DX-K02.1	Extraction + prosthetic planning	拔牙 + 修复方案	salvage	tooth_restorability=non_restorable|systemic_risk_factors!=bisphosphonate|systemic_risk_factors!=head_neck_radiation		Non-restorable tooth: restorative attempts futile.	不可修复：修复尝试无意义。	REF-008
TX-K02.3-001	DX-K02.3	Monitor + maintain (no active treatment; reinforce fluoride/hygiene)	观察维护（不主动治疗；强化氟化物/口腔卫生）	first_line	functional_concern=no|aesthetic_concern=no|cleansability=adequate		Arrested lesions in hygiene-accessible areas do not require restoration; over-treatment risks pulp injury (ADA 2018).	卫生可及区域的静止龋无需修复；过度治疗有牙髓损伤风险（ADA 2018）。	REF-027
TX-K02.3-002	DX-K02.3	Restore for aesthetics or function (composite or GIC, conservative cavity prep)	美观或功能修复 (复合树脂或GIC，保守备洞)	alternative	functional_concern=yes OR aesthetic_concern=yes OR cleansability=poor|tooth_restorability=restorable		Restore only when a functional, aesthetic, or cleansability indication exists.	仅在功能、美观或清洁性问题存在时修复。	REF-008|REF-027
TX-K02.51-001	DX-K02.51	Fissure sealant (resin-based or GIC)	窝沟封闭 (树脂或玻璃离子)	first_line	cavitation=no|lesion_depth=enamel_only		Sealants arrest non-cavitated pit/fissure caries; evidence-based first-line (ADA 2016 sealants guideline, REF-027).	窝沟封闭可阻止非洞型窝沟龋；循证一线（ADA 2016 封闭指南）。	REF-027
TX-K02.7-001	DX-K02.7	Topical 38% silver diamine fluoride (SDF) arrest treatment + monitoring	38%氟化银 (SDF) 涂布阻止治疗 + 复查	first_line	patient_age=elderly OR patient_cooperative=limited|aesthetic_concern=no OR posterior_tooth=yes|cavitation_size in [small, medium]		SDF arrests root caries in elderly/cognitively-impaired patients without restoration. Black staining limits anterior aesthetic use (ADA 2018).	SDF可在老年/认知障碍患者中阻止根面龋，无需修复。染黑限制前牙美观应用（ADA 2018）。	REF-027
TX-K02.7-002	DX-K02.7	GIC restoration (root caries — preferred over composite for moisture tolerance + fluoride release)	GIC修复 (根面龋——耐湿+释氟优于复合树脂)	first_line	tooth_restorability=restorable|isolation_adequate=challenging OR isolation_adequate=adequate		Root surface isolation is difficult; GIC's moisture tolerance and fluoride release make it preferred for cervical/root restorations.	根面隔湿困难；GIC的耐湿和释氟使其成为颈部/根面修复首选。	REF-008|REF-019
TX-K05.10-001	DX-K05.10	Supragingival scaling + OHI (oral hygiene instruction) + 4–6 week reassessment	龈上洁治 + 口腔卫生指导 + 4–6周复查	first_line			Plaque-induced gingivitis is reversible — supragingival biofilm removal + sustained OHI resolves inflammation. Reassess at 4–6 weeks to confirm BOP reduction.	菌斑性龈炎可逆——龈上菌斑清除+持续口腔卫生指导可消除炎症。4–6周复查确认BOP减少。	REF-012|REF-013|REF-022
TX-K05.10-002	DX-K05.10	Adjunctive chlorhexidine 0.12% mouthrinse (short-term, 2 weeks max)	辅助氯己定0.12%含漱液 (短期使用，最长2周)	alternative	oral_hygiene_level=poor OR cannot_perform_mechanical_cleaning=yes		Chlorhexidine is adjunctive, not a substitute for mechanical plaque control. Limit to 2 weeks (staining, taste alteration). Reserve for periods when mechanical cleaning is impaired.	氯己定为辅助手段，不可替代机械菌斑控制。限用2周（染色、味觉改变）。仅用于机械清洁受限时。	REF-012
TX-K05.11-001	DX-K05.11	Specialist evaluation (oral medicine / periodontology) — identify underlying cause before symptomatic treatment	专科评估（口腔黏膜病/牙周病专科）——确定病因后再对症治疗	first_line			Non-plaque-induced gingivitis has diverse causes (viral, fungal, allergic, drug-induced, systemic disease). Standard plaque-control treatment will not resolve underlying cause — specialist evaluation is required.	非菌斑性龈炎病因多样（病毒、真菌、过敏、药物、全身疾病）。常规菌斑控制无法解决根本病因——需专科评估。	REF-012|REF-013
TX-K05.20-001	DX-K05.20	Drainage (through pocket or incision) + subgingival debridement + saline irrigation	引流（经牙周袋或切开）+ 龈下清创 + 盐水冲洗	first_line	tooth_restorability=restorable|systemic_signs=none OR systemic_signs=local_only		Drainage is the definitive treatment for localised periodontal abscess. Antibiotic stewardship: do NOT prescribe antibiotics without systemic signs (REF-022, REF-023).	引流是局限性牙周脓肿的根本治疗。抗生素管理：无全身症状时不开抗生素（REF-022, REF-023）。	REF-022|REF-023|REF-013
TX-K05.20-002	DX-K05.20	Drainage + adjunctive systemic antibiotics (amoxicillin 500mg TID 5–7d, or metronidazole 400mg TID if pen-allergic) — only with systemic signs	引流 + 辅助全身抗生素（阿莫西林500mg TID 5–7天，青霉素过敏者甲硝唑400mg TID）——仅在全身症状存在时	first_line	tooth_restorability=restorable|systemic_signs in [fever_or_lymphadenopathy, cellulitis_spreading]		Systemic antibiotics are indicated when fever, lymphadenopathy, or spreading cellulitis present. Drainage remains the primary intervention.	全身症状（发热、淋巴结肿大、扩散性蜂窝织炎）时需用全身抗生素。引流仍为主要治疗。	REF-023
TX-K05.20-003	DX-K05.20	Hospital referral for IV antibiotics + airway/spread assessment	住院静脉抗生素 + 气道/扩散评估	escalation	systemic_signs=cellulitis_spreading|swelling_spread in [floor_of_mouth, submandibular, periorbital] OR airway_compromise=yes		Spreading odontogenic infection from periodontal source — same emergency pathway as K04.7.	牙周源性扩散感染——与K04.7同样的急诊路径。	REF-023
TX-K05.20-004	DX-K05.20	Extraction + drainage (tooth not restorable / hopeless)	拔牙 + 引流（牙体不可修复/无望）	salvage	tooth_restorability=non_restorable|systemic_risk_factors!=bisphosphonate|systemic_risk_factors!=head_neck_radiation		Hopeless tooth + periodontal abscess: extraction simultaneously achieves drainage and removes the source.	无望牙伴牙周脓肿：拔牙同时实现引流并去除病源。	REF-013
TX-K05.30-001	DX-K05.30	Scaling and root planing (SRP) per quadrant + OHI + 6–8 week reassessment	龈下刮治和根面平整 (SRP) 分象限 + 口腔卫生指导 + 6–8周复查	first_line	ppd_max in [4_5mm, 6_8mm]|furcation_involvement in [none, grade_I]|tooth_mobility in [none, grade_1]|tooth_restorability=restorable	TX-K05.30-002	First-line non-surgical periodontal therapy for Stage I/II periodontitis (EFP S3 2020). Reassess at 6–8 weeks; residual ≥5mm pockets indicate surgical referral.	Stage I/II牙周炎的一线非手术治疗（EFP S3 2020）。6–8周复查；残余≥5mm深袋提示外科转诊。	REF-022|REF-013
TX-K05.30-002	DX-K05.30	Supportive periodontal therapy (SPT) every 3–6 months	牙周维护治疗 (SPT) 每3–6月	first_line	prior_periodontal_treatment in [SRP_completed, ongoing_maintenance]|ppd_post_treatment=less_than_5mm		After active therapy, lifelong supportive care prevents recurrence. Recall interval based on risk (smoking, diabetes, plaque control).	主动治疗后，终身支持治疗防止复发。复诊间隔基于风险（吸烟、糖尿病、菌斑控制）。	REF-022
TX-K05.30-003	DX-K05.30	Surgical periodontal therapy (open flap debridement, regenerative, or resective)	牙周外科治疗（翻瓣清创、再生术、切除术）	first_line	prior_periodontal_treatment=SRP_completed|ppd_post_treatment=greater_than_or_equal_5mm|tooth_restorability=restorable		Residual pockets ≥5mm after SRP indicate surgical access is needed. Choice of surgical approach depends on defect morphology.	SRP后残余≥5mm深袋提示需外科入路。手术方式选择取决于骨缺损形态。	REF-022|REF-013
TX-K05.31-001	DX-K05.31	Full-mouth SRP (1-stage or quadrant-by-quadrant) + OHI + 6–8 week reassessment	全口SRP（一次性或分象限）+ 口腔卫生指导 + 6–8周复查	first_line	ppd_max in [4_5mm, 6_8mm]|tooth_mobility in [none, grade_1]	TX-K05.30-002	Generalized periodontitis: same first-line non-surgical therapy as localized but full-mouth scope.	广泛性牙周炎：非手术治疗与局限性相同但全口范围。	REF-022|REF-013
TX-K05.31-002	DX-K05.31	Severe periodontitis pathway — full-mouth SRP + adjunctive systemic antibiotics (Stage III/IV Grade C only, e.g., amoxicillin + metronidazole) + surgical referral	重度牙周炎路径——全口SRP + 辅助全身抗生素（仅Stage III/IV Grade C，如阿莫西林+甲硝唑）+ 外科转诊	first_line	ppd_max=9mm_or_more OR furcation_involvement=grade_II_III AND tooth_mobility=grade_2_3|tooth_restorability=restorable		Adjunctive systemic antibiotics with SRP are reserved for severe rapidly progressive cases (Stage III/IV Grade C) per EFP S3 2020 — not routine.	辅助全身抗生素与SRP联合仅用于重度快速进展病例（Stage III/IV Grade C），EFP S3 2020——非常规。	REF-022
TX-K05.31-003	DX-K05.31	Extraction of hopeless teeth + prosthetic planning	拔除无望牙 + 修复方案	salvage	tooth_restorability=hopeless|systemic_risk_factors!=bisphosphonate|systemic_risk_factors!=head_neck_radiation		Hopeless teeth (bone support <20%, Grade III furcation, severe mobility) are extracted and replaced.	无望牙（骨支持<20%、III度根分叉、重度松动）拔除后修复。	REF-011|REF-013
TX-K06.0-001	DX-K06.0	Mucogingival surgery (root coverage — coronally advanced flap ± connective tissue graft)	膜龈手术（根面覆盖——冠向复位瓣±结缔组织移植）	first_line	recession_class=RT1|tooth_sensitivity=yes OR aesthetic_concern=yes		Cairo RT1 recession (no interproximal attachment loss) has the best prognosis for complete root coverage. Surgery indicated when symptomatic or aesthetic concern.	Cairo RT1（无邻面附着丧失）根面覆盖预后最佳。有症状或美观需求时手术。	REF-028|REF-013
TX-K06.0-002	DX-K06.0	Conservative management (desensitisation, monitoring, atraumatic brushing education) — partial coverage realistic for RT2/RT3	保守管理（脱敏、监测、温和刷牙宣教）——RT2/RT3仅可获得部分覆盖	first_line	recession_class in [RT2, RT3]		Cairo RT2/RT3 (interproximal attachment loss present): complete root coverage not achievable. Manage symptoms; surgical coverage offers only partial benefit.	Cairo RT2/RT3（存在邻面附着丧失）：完全根面覆盖不可实现。对症管理；外科覆盖只能部分获益。	REF-028
TX-K06.0-003	DX-K06.0	Monitor + reinforce atraumatic brushing technique (no immediate surgery)	观察+强化温和刷牙宣教（暂不手术）	first_line	tooth_sensitivity=no|aesthetic_concern=no		Asymptomatic recession in non-aesthetic zones with no progression: no surgery indicated. Monitor + correct traumatic brushing if present.	非美观区无症状无进展的退缩：无需手术。监测+如有刷牙创伤予以纠正。	REF-013
TX-K06.1-001	DX-K06.1	OHI + supragingival scaling + 8-week reassessment (inflammatory overgrowth)	口腔卫生指导 + 龈上洁治 + 8周复查（炎症性增生）	first_line	gingival_condition_type=inflammatory_overgrowth		Plaque-driven overgrowth resolves with effective plaque control. Surgery only if persistent at 8 weeks.	菌斑驱动的增生通过有效菌斑控制可消退。8周仍持续才考虑手术。	REF-012
TX-K06.1-002	DX-K06.1	Liaison with prescribing physician for drug substitution + intensive OHI + reassessment	与处方医师协商换药 + 强化口腔卫生指导 + 复查	first_line	gingival_condition_type=drug_induced_overgrowth		Drug-induced overgrowth: switching to a non-causative agent (with prescriber agreement) plus excellent plaque control can resolve; surgery reserved for refractory cases.	药物性增生：与处方医师协商换用非致病药物+优秀菌斑控制可解决；难治性病例才考虑手术。	REF-012|REF-013
TX-K06.1-003	DX-K06.1	Gingivectomy / gingivoplasty (surgical reduction for persistent functional or aesthetic concern)	牙龈切除术/牙龈成形术（持续功能或美观问题的手术切除）	alternative	persistent_after_nonsurgical=yes|functional_concern=yes OR aesthetic_concern=yes		After failed conservative management, surgical reduction restores form and function. Recurrence risk if cause not addressed.	保守治疗失败后，手术切除恢复形态与功能。若病因未解决有复发风险。	REF-013
TX-K12.0-001	DX-K12.0	Topical analgesic (lidocaine 2% gel) + topical corticosteroid (triamcinolone in orabase 0.1%, 2–3x/day)	局部止痛（2%利多卡因凝胶）+ 局部皮质类固醇（0.1%曲安奈德口腔贴膏，每日2–3次）	first_line	lesion_recurrent=yes|lesion_duration_days<14		Symptomatic relief + speed healing. Most minor RAS resolves in 7–14 days. Counsel patient on triggers (stress, trauma, citrus, SLS toothpaste).	缓解症状+加速愈合。轻型RAS多数7–14天内愈合。指导患者识别诱因（应激、创伤、柑橘、SLS牙膏）。	REF-008
TX-K12.0-002	DX-K12.0	Investigate for systemic cause (iron, B12, folate, coeliac, IBD) — recurrent or major RAS	全身病因筛查（铁、B12、叶酸、乳糜泻、IBD）——复发性或大型RAS	first_line	lesion_recurrent=yes|frequency=monthly_or_more OR major_aphthous=yes		Frequent or major RAS may indicate underlying systemic disease — workup informs management.	频发或大型RAS可能提示系统性疾病——筛查指导治疗。	REF-008
TX-K12.2-001	DX-K12.2	EMERGENCY hospital referral — IV antibiotics, airway management, surgical drainage of fascial spaces	急诊住院——静脉抗生素、气道管理、间隙切开引流	escalation			Fascial space infection (Ludwig's, submandibular, lateral pharyngeal) is life-threatening and not safely managed in primary dental setting.	筋膜间隙感染（Ludwig、颌下、咽侧）危及生命，初级牙科环境无法安全处理。	REF-008|REF-023
TX-K12.3-001	DX-K12.3	Supportive care: bland saline + sodium bicarbonate mouthwash, topical analgesia, soft diet, hydration	支持治疗：盐水+碳酸氢钠漱口、局部止痛、软食、补液	first_line	recent_chemo_or_radiation=yes|mucositis_severity in [WHO_grade_1, WHO_grade_2]		MASCC/ISOO 2014 supportive care for WHO Grade 1–2 mucositis. Avoid chlorhexidine (irritant) and alcohol-based rinses.	MASCC/ISOO 2014 WHO 1–2级黏膜炎支持治疗。避免氯己定（刺激）及含醇漱口水。	REF-032
TX-K12.3-002	DX-K12.3	Coordinate with oncology team + opioid analgesia + nutritional support (NG tube / TPN if needed)	与肿瘤科协作+阿片类止痛+营养支持（如需鼻胃管/全胃肠外营养）	first_line	mucositis_severity in [WHO_grade_3, WHO_grade_4]		Severe mucositis (Grade 3–4) impairs oral intake and requires oncology team coordination, systemic analgesia, and nutritional support.	重度黏膜炎（3–4级）影响进食，需肿瘤科协作、全身止痛、营养支持。	REF-032
TX-K13.0-001	DX-K13.0	Antifungal cream (miconazole or nystatin) ± topical hydrocortisone — angular cheilitis	抗真菌软膏（咪康唑或制霉菌素）±局部氢化可的松——口角炎	first_line	lesion_location=lip_commissure|candidal_suspected=yes OR yeast_culture_positive=yes		Most angular cheilitis is candidal. Address underlying cause: ill-fitting dentures, reduced vertical dimension, drooling, nutritional deficiency.	大多数口角炎为念珠菌感染。处理诱因：义齿不合、垂直距离降低、流涎、营养缺乏。	REF-008
TX-K13.0-002	DX-K13.0	Investigate iron / vitamin B12 / folate — refractory or recurrent cheilitis	铁/B12/叶酸筛查——难治性或复发性唇炎	first_line	refractory_to_topical=yes OR recurrent=yes		Nutritional deficiency is a common underlying cause of refractory cheilitis.	营养缺乏是难治性唇炎常见原因。	REF-008
TX-K13.21-001	DX-K13.21	Mandatory incisional biopsy (specialist referral) — diagnosis cannot be made clinically	强制切取活检（专科转诊）——临床不可独自确诊	first_line			Leukoplakia is a clinical exclusion diagnosis — biopsy is mandatory to determine dysplasia grade and guide surveillance vs excision.	白斑为临床排除诊断——必须活检确定上皮异型增生分级，指导随访或切除。	REF-030|REF-033
TX-K13.21-002	DX-K13.21	Risk-factor cessation counselling (tobacco, alcohol) + 3–6 month surveillance after benign biopsy	危险因素戒除指导（烟、酒）+ 良性活检后3–6月随访	first_line	biopsy_result in [no_dysplasia, mild_dysplasia]		Benign biopsy does not eliminate transformation risk; tobacco/alcohol cessation is the most effective intervention.	良性活检不能排除恶变风险；戒烟戒酒为最有效干预。	REF-033
TX-K13.21-003	DX-K13.21	Surgical excision (laser or cold-knife) + close surveillance — moderate/severe dysplasia	手术切除（激光或冷刀）+ 密切随访——中/重度异型增生	first_line	biopsy_result in [moderate_dysplasia, severe_dysplasia]		Moderate/severe dysplasia carries higher malignant transformation risk — excision recommended where feasible.	中/重度异型增生恶变风险更高——条件许可时建议切除。	REF-030|REF-033
TX-K13.5-001	DX-K13.5	Cessation of areca/betel chewing (essential) + nutritional counselling + surveillance	停用槟榔/槟榔块（根本措施）+ 营养指导 + 监测随访	first_line	areca_betel_use in [current, past]		Cessation is the only intervention proven to reduce progression and malignant transformation risk.	戒除咀嚼为唯一已证实降低进展与恶变风险的干预。	REF-034
TX-K13.5-002	DX-K13.5	Specialist referral (oral medicine / OMFS) — moderate–severe trismus or suspicious lesion	专科转诊（口腔黏膜病/颌面外科）——中重度张口受限或可疑病变	escalation	mouth_opening_mm<=25 OR suspicious_lesion=yes		Severe trismus (interincisal opening ≤25mm) and any suspicious area within OSMF require specialist evaluation and possible biopsy.	重度张口受限（开口度≤25mm）或OSMF内任何可疑区域需专科评估和可能的活检。	REF-034
TX-K13.71-001	DX-K13.71	URGENT 2-week-wait oncology referral for biopsy — do NOT defer or watch-and-wait	紧急2周内肿瘤科转诊行活检——禁止观察等待	escalation			40–50% of erythroplakia shows carcinoma in situ or invasive carcinoma AT FIRST BIOPSY. Watch-and-wait is unsafe.	首次活检即有40–50%为原位癌或浸润癌。观察等待不安全。	REF-030|REF-031
TX-K13.72-001	DX-K13.72	Biopsy to confirm diagnosis (rule out dysplasia / discoid lupus) + topical corticosteroid for symptomatic forms	活检确诊（排除异型增生/盘状红斑狼疮）+ 有症状时局部皮质类固醇	first_line	wickham_striae=yes OR lesion_pattern=reticular_or_erosive		Biopsy distinguishes OLP from lichenoid dysplasia and other mimics. Asymptomatic reticular OLP requires only surveillance; erosive forms benefit from topical steroids.	活检区分OLP与苔藓样异型增生及其他相似病变。无症状网状型仅需随访；糜烂型可用局部类固醇。	REF-030
TX-K13.72-002	DX-K13.72	Annual surveillance (more frequent for erosive/atrophic forms) — biopsy any new red/ulcerated area	每年随访（糜烂/萎缩型更频繁）——任何新发红/溃疡区域应活检	first_line			Malignant transformation 1–2%; new red or ulcerated areas in OLP should be biopsied to exclude transformation.	恶变率1–2%；OLP内新发红或溃疡区应活检以排除恶变。	REF-030
