symptom_id	name_en	name_cn	candidate_dx_id	weight
SY-recurrent_ulcers	Recurrent painful oral ulcers (recur every few weeks/months)	复发性口腔疼痛性溃疡（每数周/数月复发）	DX-K13.72	0.4
SY-persistent_white_patch	Persistent white patch (does not rub off)	持续性白色斑块（不可擦除）	DX-K13.21	0.95
SY-persistent_white_patch	Persistent white patch (does not rub off)	持续性白色斑块（不可擦除）	DX-K13.72	0.4
SY-persistent_white_patch	Persistent white patch (does not rub off)	持续性白色斑块（不可擦除）	DX-K13.5	0.3
SY-persistent_red_patch	Persistent red patch (no clear cause)	持续性红色斑块（无明确病因）	DX-K13.71	0.98
SY-persistent_red_patch	Persistent red patch (no clear cause)	持续性红色斑块（无明确病因）	DX-K13.72	0.4
SY-non_healing_ulcer	Non-healing oral ulcer (≥ 2 weeks)	口腔溃疡不愈合（≥2周）	DX-K13.71	0.6
SY-non_healing_ulcer	Non-healing oral ulcer (≥ 2 weeks)	口腔溃疡不愈合（≥2周）	DX-K13.21	0.5
SY-non_healing_ulcer	Non-healing oral ulcer (≥ 2 weeks)	口腔溃疡不愈合（≥2周）	DX-K13.5	0.4
SY-non_healing_ulcer	Non-healing oral ulcer (≥ 2 weeks)	口腔溃疡不愈合（≥2周）	DX-K13.72	0.3
SY-restricted_mouth_opening	Progressive restricted mouth opening (trismus, not acute)	进行性张口受限（非急性）	DX-K13.5	0.9
SY-burning_mucosa	Burning sensation in oral mucosa	口腔黏膜灼烧感	DX-K13.5	0.7
SY-burning_mucosa	Burning sensation in oral mucosa	口腔黏膜灼烧感	DX-K13.72	0.5
SY-burning_mucosa	Burning sensation in oral mucosa	口腔黏膜灼烧感	DX-K12.3	0.5
SY-lacy_white_pattern	Lacy white pattern on cheek mucosa (Wickham's striae)	颊黏膜蕾丝状白纹（Wickham纹）	DX-K13.72	0.95
SY-angular_lip_cracks	Cracks / soreness at corners of mouth	口角皲裂/疼痛	DX-K13.0	0.95
SY-recent_chemo_or_xrt	Recent chemotherapy or head/neck radiation	近期化疗或头颈部放疗	DX-K12.3	0.95
SY-induration	Indurated (firm) area in oral mucosa	口腔黏膜硬结	DX-K13.71	0.7
SY-induration	Indurated (firm) area in oral mucosa	口腔黏膜硬结	DX-K13.21	0.6
SY-induration	Indurated (firm) area in oral mucosa	口腔黏膜硬结	DX-K13.5	0.4
